Abbreviation,Description,Reaction,GPR,Genes,Proteins,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence Score,EC Number,Notes,References
2-DEHYDROPANTOATE-REDUCT-RXN_Light_c_M1,2-DEHYDROPANTOATE-REDUCT-RXN_Light_c,2-DEHYDROPANTOATE_Light_c_M1 + NADPH_Light_c_M1 --> L-PANTOATE_Light_c_M1 + NADP_Light_c_M1,,,,,0,0,1000,0,,,,
2-DEHYDROPANTOATE-REDUCT-RXN_Light_c_M2,2-DEHYDROPANTOATE-REDUCT-RXN_Light_c,2-DEHYDROPANTOATE_Light_c_M2 + NADPH_Light_c_M2 --> L-PANTOATE_Light_c_M2 + NADP_Light_c_M2,,,,,0,0,1000,0,,,,
2-ISOPROPYLMALATESYN-RXN_Dark_p_M1,2-ISOPROPYLMALATESYN-RXN_Dark_p,2-KETO-ISOVALERATE_Dark_p_M1 + ACETYL-COA_Dark_p_M1 --> 3-CARBOXY-3-HYDROXY-ISOCAPROATE_Dark_p_M1 + CO-A_Dark_p_M1,,,,,0,0,1000,0,,,,
2-ISOPROPYLMALATESYN-RXN_Dark_p_M2,2-ISOPROPYLMALATESYN-RXN_Dark_p,2-KETO-ISOVALERATE_Dark_p_M2 + ACETYL-COA_Dark_p_M2 --> 3-CARBOXY-3-HYDROXY-ISOCAPROATE_Dark_p_M2 + CO-A_Dark_p_M2,,,,,0,0,1000,0,,,,
2-ISOPROPYLMALATESYN-RXN_Light_p_M1,2-ISOPROPYLMALATESYN-RXN_Light_p,2-KETO-ISOVALERATE_Light_p_M1 + ACETYL-COA_Light_p_M1 --> 3-CARBOXY-3-HYDROXY-ISOCAPROATE_Light_p_M1 + CO-A_Light_p_M1,,,,,0,0,1000,0,,,,
2-ISOPROPYLMALATESYN-RXN_Light_p_M2,2-ISOPROPYLMALATESYN-RXN_Light_p,2-KETO-ISOVALERATE_Light_p_M2 + ACETYL-COA_Light_p_M2 --> 3-CARBOXY-3-HYDROXY-ISOCAPROATE_Light_p_M2 + CO-A_Light_p_M2,,,,,0,0,1000,0,,,,
2-KETOGLUTARATE_Dark_xc_M1,2-KETOGLUTARATE_Dark_xc,2-KETOGLUTARATE_Dark_x_M1 <=> 2-KETOGLUTARATE_Dark_c_M1,,,,,1,-1000,1000,0,,,,
2-KETOGLUTARATE_Dark_xc_M2,2-KETOGLUTARATE_Dark_xc,2-KETOGLUTARATE_Dark_x_M2 <=> 2-KETOGLUTARATE_Dark_c_M2,,,,,1,-1000,1000,0,,,,
2-KETOGLUTARATE_Light_xc_M1,2-KETOGLUTARATE_Light_xc,2-KETOGLUTARATE_Light_x_M1 <=> 2-KETOGLUTARATE_Light_c_M1,,,,,1,-1000,1000,0,,,,
2-KETOGLUTARATE_Light_xc_M2,2-KETOGLUTARATE_Light_xc,2-KETOGLUTARATE_Light_x_M2 <=> 2-KETOGLUTARATE_Light_c_M2,,,,,1,-1000,1000,0,,,,
2.3.1.133-RXN_Dark_c_M1,2.3.1.133-RXN_Dark_c,P-COUMAROYL-COA_Dark_c_M1 + SHIKIMATE_Dark_c_M1 --> CO-A_Dark_c_M1 + CPD-412_Dark_c_M1,,,,,0,0,1000,0,,,,
